time,pmt_high_voltage,pmt_current,v_p2p_ch1,v_rms_ch1,v_p2p_ch2,v_rms_ch2
1742927257.545999,699.6,67.83,0.0080000004,0.0011353934,0.0061999997,0.0007154873
1742927261.108297,699.7,67.845,0.003,0.0006137154,0.0074,0.0015177908
1742927264.4283264,704.9,68.605,0.0071999999,0.0010560116,0.0086000003,0.0006611496
1742927267.8728588,710.0,69.38,0.0031999999,0.0010935073,0.0049999999,0.0013147828
1742927271.1641338,715.0,70.135,0.0076000001,0.0010641251,0.0035999999,0.0011134138
1742927274.5069087,720.0,70.89,0.0061999997,0.0005946091,0.0073999995,0.0006366009
1742927277.7393222,725.0,71.645,0.0068000001,0.0005839524,0.0077999998,0.0012667361
1742927281.087864,730.0,72.405,0.0068000001,0.0011408197,0.0077999998,0.0006315691
1742927284.29954,734.9,73.155,0.0035999999,0.0010844112,0.0048000002,0.0011982713
1742927287.5580275,740.0,73.93,0.0035999999,0.0010615246,0.0077999998,0.0006343214
1742927290.895524,745.0,74.68,0.0071999999,0.0006590117,0.0057999999,0.0011876088
1742927294.045287,749.9,75.435,0.0037999998,0.0005834451,0.0057999999,0.0008074681
1742927297.3486702,754.9,76.185,0.0066,0.0009952105,0.0047999998,0.0011111425
1742927300.7105706,759.9,76.945,0.0060000001,0.001080342,0.0038000001,0.0012360011
1742927303.838754,765.0,77.7,0.0067999996,0.0010435188,0.0068000001,0.0012947024
1742927307.2186759,770.1,78.475,0.0077999998,0.0011745602,0.0103999991,0.0006624396
1742927310.480693,775.1,79.23,0.0053999997,0.001067579,0.0089999996,0.0010432631
1742927313.7819862,780.0,79.985,0.0083999997,0.0010771963,0.0068000001,0.001395379
1742927317.2991996,785.0,80.74,0.0069999998,0.0009993542,0.0053999997,0.0011610456
1742927320.4933248,790.0,81.495,0.0031999999,0.0010138825,0.0061999997,0.0012229999
1742927323.7455878,795.1,82.26,0.0074,0.0005868779,0.0055999998,0.0007239459
1742927327.1105878,800.0,83.025,0.0063999998,0.0010689101,0.0060000001,0.0013042403
1742927330.3557317,805.0,83.78,0.0079999994,0.0010252903,0.0061999997,0.0006457296
1742927333.8597949,810.0,84.535,0.0074,0.0009102501,0.0055999998,0.0010754267
1742927337.1070735,815.0,85.295,0.0041999999,0.0010765102,0.0041999999,0.0011933857
1742927340.745267,820.0,86.05,0.0066,0.0010159275,0.0071999999,0.0012503316
1742927344.083201,825.2,86.82,0.0060000001,0.0009848526,0.0059999996,0.001180019
1742927347.4518194,830.1,87.575,0.0035999999,0.0010479348,0.0053999997,0.0006961928
1742927350.9333813,835.1,88.33,0.0062000002,0.0005996798,0.0100000007,0.0016046484
1742927354.0136373,840.1,89.09,0.0037999998,0.0005794534,0.0507999994,0.0006846591
1742927357.333405,845.0,89.835,0.0076000001,0.0005592158,0.0089999996,0.0007232343
1742927360.803422,850.0,90.595,0.0100000007,0.0005663594,0.0044,0.0007181074
1742927363.952171,855.1,91.365,0.003,0.000655289,0.0034,0.0006666466
1742927367.088377,860.1,92.12,0.0060000001,0.0009178501,0.0033999998,0.0006136589
1742927370.2773154,865.0,92.875,0.0031999999,0.0005726318,0.0040000002,0.0007302309
1742927373.4137995,870.0,93.635,0.0035999999,0.0006805516,0.0035999999,0.0007426955
1742927376.545741,875.0,94.385,0.0033999998,0.0006384212,0.0037999998,0.0130175166
1742927379.6480837,879.9,95.145,0.0037999998,0.0005385598,0.0035999999,0.0006129717
1742927382.9274483,885.0,95.91,0.0035999999,0.0005877183,0.0046000001,0.0006164219
1742927386.0895584,890.0,96.665,0.0031999999,0.0005714705,0.0080000004,0.0006074369
1742927389.156734,895.0,97.425,0.0031999999,0.0006455478,0.0035999999,0.0007059117
1742927392.485959,900.1,98.185,0.0507999994,0.0006584325,0.0069999998,0.0012360142
1742927395.75729,905.0,98.94,0.0066,0.001224247,0.0037999998,0.0013142795
1742927399.1557271,910.1,99.71,0.0066,0.0005751791,0.0039999997,0.0006374175
1742927402.458182,915.1,100.475,0.0071999999,0.0011323254,0.0038000001,0.0011104533
1742927405.7670028,920.1,101.23,0.0069999998,0.0006720709,0.0074,0.0012490721
1742927409.0655313,925.1,101.99,0.0060000001,0.0011061399,0.0083999997,0.001211855
1742927412.4850945,930.1,102.745,0.0068000001,0.00121889,0.0082,0.0012032901
1742927415.7643106,935.1,103.51,0.0068000001,0.000633808,0.0063999998,0.0011938283
1742927419.0024147,940.2,104.285,0.0073999995,0.0006084549,0.0070000002,0.0006398821
1742927422.11888,945.1,105.04,0.0068000001,0.0006088581,0.0037999998,0.0012531001
1742927425.423218,950.1,105.8,0.0066,0.0011707725,0.0047999998,0.000677747
1742927428.5445752,955.1,106.56,0.0079999994,0.0006360391,0.0082,0.0006822039
1742927431.8938973,960.0,107.31,0.0034,0.001027562,0.0047999998,0.0006555007
1742927435.1516728,965.1,108.085,0.0034,0.0009719584,0.0044,0.0012179813
1742927438.5316153,970.2,108.84,0.0076000001,0.0010618262,0.0063999998,0.0006352417
1742927441.8784573,975.2,109.6,0.0057999999,0.000559025,0.0033999998,0.0013826281
1742927445.2582011,980.1,110.355,0.0076000001,0.0007541198,0.0063999998,0.0006492194
1742927448.5376582,985.1,111.11,0.0069999998,0.0006676263,0.0055999998,0.0013921768
1742927451.9357536,990.1,111.86,0.0057999999,0.000966158,0.0039999997,0.0013533767
1742927455.3074574,995.1,112.64,0.0041999999,0.0006297798,0.0041999999,0.001257251
1742927458.8610032,1000.1,113.395,0.0075999997,0.0006702862,0.0070000002,0.0011961545
1742927462.1113012,1005.1,114.155,0.0062000002,0.0010109075,0.0038000001,0.0011832858
1742927465.4108202,1010.1,114.905,0.0068000001,0.001007471,0.0060000001,0.000648537
1742927468.8724387,1015.0,115.665,0.0070000002,0.0006075818,0.0107999993,0.0008709225
1742927472.1138413,1020.1,116.44,0.0035999999,0.0006991028,0.0074,0.0012964712
1742927475.911498,1025.1,117.2,0.0083999997,0.0010532215,0.0100000007,0.0014040871
1742927479.1476147,1030.1,117.96,0.0071999999,0.00120681,0.0037999998,0.0011476928
1742927482.4273431,1035.1,118.715,0.0066,0.0007024148,0.0063999998,0.0006130239
1742927485.6542103,1040.1,119.475,0.0062000002,0.0010219049,0.0079999994,0.0008151722
1742927489.0318394,1045.1,120.23,0.0071999999,0.0006249705,0.0049999999,0.0130804759
1742927492.1813974,1050.3,121.015,0.0073999995,0.0010667891,0.0060000001,0.0007052311
1742927495.540395,1055.3,121.77,0.0034,0.001086591,0.0062000002,0.0007407857
1742927498.646312,1060.2,122.53,0.0069999998,0.0006354894,0.0038000001,0.0007007341
1742927501.844917,1065.2,123.285,0.0063999998,0.0006388056,0.0057999999,0.0006234833
1742927505.408424,1070.2,124.045,0.0038000001,0.0006126539,0.0053999997,0.0011597214
1742927508.667019,1075.2,124.815,0.0066,0.0010730799,0.0041999999,0.0012920601
1742927512.0696743,1080.2,125.57,0.0068000001,0.0011275775,0.0052,0.0011666843
1742927515.4228868,1085.2,126.33,0.0066,0.000985164,0.0044,0.0012396176
1742927518.7825644,1090.1,127.085,0.0074,0.001089472,0.0088,0.0006396319
