,t,V
0,1742219998.8634808,0.0172000006
1,1742219999.4855418,0.0299999993
2,1742220000.0488796,0.0161999986
3,1742220000.6326764,0.0348000005
4,1742220001.2134233,0.0184000004
5,1742220001.8015814,0.0363999978
6,1742220002.3478467,0.0269999988
7,1742220002.9404702,0.0165999997
8,1742220003.473287,0.025799999
9,1742220004.0719874,0.0217999984
10,1742220004.6110866,0.0146000003
11,1742220005.202579,0.023
12,1742220005.7398784,0.0253999997
13,1742220006.33497,0.030799998
14,1742220006.8816175,0.0353999995
15,1742220007.4721265,0.0295999981
16,1742220008.0117822,0.019199999
17,1742220008.6206026,0.0397999994
18,1742220009.1639383,0.0328000002
19,1742220009.7555714,0.0139999995
20,1742220010.2972403,0.0350000001
21,1742220010.8677275,0.0255999994
22,1742220011.4086437,0.0348000005
23,1742220012.0541427,0.0149999997
24,1742220012.593502,0.0331999995
25,1742220013.2023883,0.0313999988
26,1742220013.7483313,0.0273999982
27,1742220014.3503692,0.0328000002
28,1742220014.895404,0.0173999984
29,1742220015.489302,0.0216000006
30,1742220016.0481973,0.0186000001
31,1742220016.6388917,0.0223999992
32,1742220017.1809373,0.0350000001
33,1742220017.779205,0.0390000008
34,1742220018.3246124,0.023599999
35,1742220018.9220495,0.0397999994
36,1742220019.4591653,0.0225999989
37,1742220020.0473967,0.030199999
38,1742220020.6145453,0.0240000002
39,1742220021.1871972,0.0225999989
40,1742220021.7267296,0.0337999985
41,1742220022.3378432,0.0238000005
42,1742220022.8924615,0.0229999982
43,1742220023.5016723,0.0368000008
44,1742220024.0442653,0.0364000015
45,1742220024.6043124,0.0379999988
46,1742220025.1651351,0.0329999998
47,1742220025.7822573,0.0199999996
48,1742220026.3350818,0.0189999994
49,1742220026.9146369,0.0265999995
50,1742220027.475393,0.0192000009
51,1742220028.074365,0.0318000019
52,1742220028.6190376,0.0381999984
53,1742220029.5382323,0.0261999983
54,1742220030.0968328,0.0236000009
55,1742220030.6879497,0.0372000001
56,1742220031.2292464,0.0323999971
57,1742220031.9888546,0.0357999988
58,1742220032.5437727,0.0411999971
59,1742220033.0932667,0.0324000008
60,1742220033.6512532,0.0259999987
61,1742220034.2015483,0.0179999992
62,1742220034.75091,0.0388000011
63,1742220035.297493,0.0231999997
64,1742220035.8509364,0.0180000011
65,1742220036.4336798,0.0172000006
66,1742220036.9838357,0.0379999988
67,1742220037.534745,0.0355999991
68,1742220038.0854442,0.0283999983
69,1742220038.6335905,0.0324000008
70,1742220039.1831572,0.0320000015
71,1742220039.7343307,0.0316000022
72,1742220040.283351,0.0167999994
73,1742220040.8335238,0.0436000004
74,1742220041.386215,0.0231999997
75,1742220041.9481134,0.0340000018
76,1742220042.5013618,0.0359999985
77,1742220043.0427516,0.0271999985
78,1742220043.6010532,0.0447999984
79,1742220044.1673884,0.0320000015
80,1742220044.7308137,0.0324000008
81,1742220045.3007414,0.0184000004
82,1742220045.8514073,0.0151999993
83,1742220046.4168372,0.0412000008
84,1742220046.9674318,0.0372000001
85,1742220047.509134,0.0280000009
86,1742220048.0661852,0.0283999983
87,1742220048.6163025,0.023599999
88,1742220049.1854901,0.0231999997
89,1742220049.7333767,0.0211999994
90,1742220050.3237758,0.027999999
91,1742220050.8820553,0.0351999998
92,1742220051.4358199,0.0372000001
93,1742220051.9855018,0.0287999995
94,1742220052.5303972,0.0252
95,1742220053.0834033,0.0159999989
96,1742220053.628689,0.0156000005
97,1742220054.182068,0.0419999994
98,1742220054.750953,0.0228000004
99,1742220055.2968972,0.019199999
100,1742220055.8458414,0.0223999992
101,1742220056.402767,0.0299999993
102,1742220056.963713,0.0344000012
103,1742220058.146061,0.0243999995
104,1742220058.7016191,0.0319999978
105,1742220059.243039,0.0284000002
106,1742220059.7972398,0.0171999987
107,1742220060.4243455,0.0359999985
108,1742220060.9673185,0.0383999981
109,1742220061.5219083,0.0368000008
110,1742220062.0882154,0.0335999988
111,1742220062.7044084,0.0180000011
112,1742220063.291487,0.0231999997
113,1742220063.8354778,0.0275999997
114,1742220064.422265,0.0187999997
115,1742220064.9688926,0.0243999995
116,1742220065.5607827,0.0127999997
117,1742220066.1152325,0.0379999988
118,1742220066.7090287,0.0375999995
119,1742220067.2631092,0.0247999988
120,1742220067.8500712,0.0143999998
121,1742220068.417893,0.0275999997
