,t,V
0,1742209441.9650648,0.0151999993
1,1742209442.527266,0.0255999994
2,1742209443.0925603,0.0206000004
3,1742209443.6827028,0.0293999985
4,1742209444.2541726,0.0251999982
5,1742209444.831004,0.0369999968
6,1742209445.3979666,0.0381999984
7,1742209445.9457998,0.0367999971
8,1742209446.519115,0.0325999968
9,1742209447.0854294,0.0152000003
10,1742209447.6276345,0.0347999968
11,1742209448.2001984,0.0315999985
12,1742209448.7645807,0.0228000004
13,1742209449.3302214,0.0167999994
14,1742209449.8969338,0.0379999988
15,1742209450.449777,0.0209999997
16,1742209451.0020914,0.0175999999
17,1742209451.5616438,0.0287999976
18,1742209452.1377141,0.0197999999
19,1742209452.693225,0.0250000004
20,1742209453.2658525,0.0342000015
21,1742209453.8285558,0.0168000013
22,1742209454.4440627,0.0320000015
23,1742209454.9970975,0.027999999
24,1742209455.561988,0.0310000014
25,1742209456.1324923,0.0219999999
26,1742209456.701776,0.0326000005
27,1742209457.2701812,0.0223999992
28,1742209457.8376193,0.021399999
29,1742209458.3984308,0.0211999994
30,1742209458.9649892,0.0277999993
31,1742209459.5375118,0.0337999985
32,1742209460.105194,0.027999999
33,1742209460.664984,0.0299999993
34,1742209461.2355258,0.0303999986
35,1742209461.7980456,0.0317999981
36,1742209462.3651838,0.0145999994
37,1742209462.932088,0.0313999988
38,1742209463.4981666,0.0140000004
39,1742209464.0684142,0.0173999984
40,1742209464.6373637,0.0345999971
41,1742209465.2032819,0.0265999995
42,1742209465.770946,0.0219999999
43,1742209466.3340185,0.0366000012
44,1742209466.9182813,0.0287999995
45,1742209467.4834516,0.024199998
46,1742209468.0658212,0.0189999994
47,1742209468.6188736,0.0144000007
48,1742209469.1714275,0.0187999997
49,1742209469.7342958,0.0381999984
50,1742209470.2997277,0.0146000003
51,1742209470.872492,0.0297999997
52,1742209471.4283252,0.0139999995
53,1742209471.9882877,0.025799999
54,1742209472.5307605,0.0359999985
55,1742209473.0856624,0.0277999993
56,1742209473.6360533,0.0253999997
57,1742209474.7357612,0.0241999999
58,1742209475.288846,0.0231999997
59,1742209475.8316524,0.0329999998
60,1742209476.3826814,0.0403999984
61,1742209476.9283478,0.0365999974
62,1742209477.4871278,0.0179999992
63,1742209478.0332644,0.0323999971
64,1742209478.6192691,0.0262000002
65,1742209479.165119,0.019199999
66,1742209479.7339158,0.0201999992
67,1742209480.8526044,0.0325999968
68,1742209481.4053898,0.030799998
69,1742209481.9479804,0.0150000006
70,1742209482.5005202,0.0284000002
71,1742209483.0498586,0.0337999985
72,1742209483.6178608,0.0318000019
73,1742209484.16164,0.0377999991
74,1742209484.7203956,0.0269999988
75,1742209485.2630422,0.0303999986
76,1742209485.8197184,0.0211999994
77,1742209486.365681,0.0388000011
78,1742209486.935294,0.0370000005
79,1742209487.4843845,0.0148
80,1742209488.0548954,0.0389999971
81,1742209488.6161206,0.021399999
82,1742209489.1886516,0.0161999986
83,1742209489.7377076,0.0317999981
84,1742209490.319821,0.0311999973
85,1742209490.885504,0.0184000004
86,1742209491.4328728,0.0301999971
87,1742209492.003622,0.0192000009
88,1742209492.553685,0.0367999971
89,1742209493.1033142,0.0343999974
90,1742209493.6650343,0.0333999991
91,1742209494.2168157,0.0357999988
92,1742209494.7637532,0.0289999992
93,1742209495.3334436,0.0211999994
94,1742209495.879473,0.0333999991
95,1742209496.4302528,0.0211999994
96,1742209496.9978318,0.0392000005
97,1742209497.5472074,0.0265999995
