,t,V
0,1742217767.2733898,0.0274
1,1742217767.8449256,0.0417999998
2,1742217768.4060452,0.0287999995
3,1742217768.958326,0.0381999984
4,1742217769.5922256,0.0329999961
5,1742217770.1444879,0.0157999992
6,1742217770.718056,0.0146000003
7,1742217771.2817717,0.0379999988
8,1742217771.8444269,0.0350000001
9,1742217772.415515,0.0373999998
10,1742217772.975977,0.0390000008
11,1742217773.5327203,0.0410000011
12,1742217774.1208782,0.0139999995
13,1742217774.683091,0.0357999988
14,1742217775.2441351,0.0280000009
15,1742217775.7956896,0.0339999981
16,1742217776.3659327,0.0148
17,1742217776.9191437,0.0175999999
18,1742217777.5574427,0.0391999967
19,1742217778.1013036,0.0377999991
20,1742217778.6752908,0.0321999975
21,1742217779.228066,0.0187999997
22,1742217779.8159976,0.0333999991
23,1742217780.369696,0.0195999984
24,1742217781.0107946,0.0175999999
25,1742217781.5633008,0.0171999987
26,1742217782.1581848,0.0181999989
27,1742217782.712974,0.0319999978
28,1742217783.2961366,0.0135999992
29,1742217783.8516958,0.0205999985
30,1742217784.4775825,0.0201999992
31,1742217785.0501676,0.0296
32,1742217785.6430888,0.0221999995
33,1742217786.2114255,0.0296
34,1742217786.8080285,0.0247999988
35,1742217787.3683724,0.0262000002
36,1742217787.9464097,0.0351999998
37,1742217788.503158,0.0189999994
38,1742217789.1337037,0.0297999997
39,1742217789.7038095,0.0149999997
40,1742217790.271321,0.0375999995
41,1742217790.8526893,0.0181999989
42,1742217791.471517,0.0167999994
43,1742217792.0270267,0.0383999981
44,1742217792.6114807,0.0206000004
45,1742217793.16203,0.0299999993
46,1742217793.7295167,0.0187999997
47,1742217794.304135,0.0151999993
48,1742217794.937439,0.0328000002
49,1742217796.075354,0.0281999987
50,1742217796.6195598,0.0267999992
51,1742217797.2434704,0.0193999987
52,1742217797.8027003,0.0231999997
53,1742217798.3895807,0.0299999975
54,1742217798.9447858,0.0142000001
55,1742217799.5571551,0.0348000005
56,1742217800.1175306,0.0350000001
57,1742217800.7155166,0.0297999997
58,1742217801.2846556,0.0370000005
59,1742217801.8601937,0.0305999983
60,1742217802.4130542,0.0141999992
61,1742217802.9810998,0.0321999975
62,1742217803.528195,0.0175999999
63,1742217804.099402,0.0353999995
64,1742217804.6536567,0.0227999985
65,1742217805.2309034,0.019199999
66,1742217805.7857957,0.0252
67,1742217806.3639054,0.0343999974
68,1742217806.9149556,0.0410000011
69,1742217807.4985192,0.0194000006
70,1742217808.069569,0.0351999998
71,1742217808.7084742,0.0428000018
72,1742217809.2541673,0.0281999987
73,1742217809.858823,0.0174000002
74,1742217810.4211848,0.0291999988
75,1742217811.0272598,0.0320000015
76,1742217811.582579,0.0328000002
77,1742217812.1725442,0.0399999991
78,1742217812.7383354,0.0165999997
79,1742217813.3115838,0.0263999999
80,1742217813.8698764,0.0328000002
81,1742217814.4321756,0.0351999998
82,1742217814.987291,0.0361999981
83,1742217815.563313,0.0351999998
84,1742217816.1218984,0.0245999992
85,1742217816.678693,0.0333999991
86,1742217817.231169,0.0353999995
87,1742217817.8780334,0.021999998
