,t,V
0,1742207552.7944303,0.0207999982
1,1742207553.348797,0.0179999992
2,1742207553.9733481,0.0351999998
3,1742207554.5233905,0.0247999988
4,1742207555.091604,0.0160000008
5,1742207555.6385827,0.0348000005
6,1742207556.1918194,0.0364000015
7,1742207556.7511632,0.0247999988
8,1742207557.3159833,0.0211999994
9,1742207557.870808,0.0252
10,1742207558.4325397,0.0299999993
11,1742207558.9861114,0.0399999991
12,1742207559.5518541,0.0392000005
13,1742207560.0994842,0.0291999988
14,1742207560.732143,0.0351999998
15,1742207561.3075342,0.0335999988
16,1742207561.853633,0.0179999992
17,1742207562.400393,0.0292000007
18,1742207562.9650939,0.0251999982
19,1742207563.513957,0.0348000005
20,1742207564.1439717,0.0183999985
21,1742207564.6905038,0.0171999987
22,1742207565.2808514,0.0387999974
23,1742207565.8200765,0.0296
24,1742207566.4083514,0.0164000001
25,1742207566.9536848,0.0187999997
26,1742207567.5460532,0.026399998
27,1742207568.1016564,0.0163999982
28,1742207568.6905825,0.0275999978
29,1742207569.2342339,0.0296
30,1742207569.8272593,0.0252
31,1742207570.3660097,0.0303999986
32,1742207570.9829712,0.0147999991
33,1742207571.5174086,0.0267999992
34,1742207572.146343,0.017599998
35,1742207572.689473,0.0299999993
36,1742207573.2818005,0.0215999987
37,1742207573.8165116,0.0159999989
38,1742207574.4117458,0.0163999982
39,1742207574.9667385,0.0275999978
40,1742207575.5625606,0.0287999995
41,1742207576.1019592,0.0359999985
42,1742207576.6906676,0.0379999988
43,1742207577.2406723,0.023599999
44,1742207577.8325372,0.0371999964
45,1742207578.3690498,0.0307999998
46,1742207578.9653783,0.0211999994
47,1742207579.5062346,0.0255999994
48,1742207580.0774164,0.0359999985
49,1742207580.6214175,0.0375999995
50,1742207581.2450278,0.0355999991
51,1742207581.7925034,0.0223999992
52,1742207582.3623827,0.0171999987
53,1742207582.9176538,0.0228000004
54,1742207583.5455365,0.0207999982
55,1742207584.0912175,0.0152000003
56,1742207584.6803958,0.0184000004
57,1742207585.2205245,0.0291999988
58,1742207585.8135302,0.0347999968
59,1742207586.3737555,0.0323999971
60,1742207586.9635317,0.0284000002
61,1742207587.5162158,0.0196000002
62,1742207588.105861,0.0368000008
63,1742207588.6758502,0.0283999983
64,1742207589.2430587,0.0292000007
65,1742207589.789617,0.0339999981
66,1742207590.412462,0.0247999988
67,1742207590.9545047,0.0395999998
68,1742207591.531605,0.0331999995
69,1742207592.0704336,0.0164000001
70,1742207592.6904697,0.0179999992
71,1742207593.2598965,0.0311999992
72,1742207593.8296807,0.0211999994
73,1742207594.4434106,0.0363999978
74,1742207594.999957,0.0271999985
75,1742207595.5748723,0.0292000007
76,1742207596.1977797,0.0196000002
77,1742207596.7545972,0.0240000002
78,1742207597.3299048,0.0151999993
79,1742207597.8682795,0.0240000002
80,1742207598.4987228,0.0231999997
81,1742207599.0577528,0.0355999991
82,1742207599.64106,0.0184000004
83,1742207600.1929111,0.0223999992
84,1742207600.785759,0.0167999994
85,1742207601.3426564,0.0311999992
86,1742207601.9652002,0.0199999996
87,1742207602.5065844,0.0335999988
88,1742207603.0936382,0.0299999993
89,1742207603.6391337,0.0155999986
90,1742207604.224614,0.0164000001
91,1742207604.7740512,0.0303999986
92,1742207605.3668694,0.0351999998
93,1742207605.919233,0.0163999982
94,1742207606.5114765,0.0227999985
95,1742207607.0704181,0.023599999
96,1742207607.6651196,0.0348000005
97,1742207608.2100995,0.0287999995
98,1742207608.8147404,0.0311999992
99,1742207609.3761137,0.0359999985
100,1742207609.966386,0.0319999978
101,1742207610.5083256,0.0255999994
102,1742207611.078531,0.0315999985
103,1742207611.6217048,0.0328000002
104,1742207612.2398174,0.0164000001
105,1742207612.8090708,0.0379999988
106,1742207613.3922143,0.0196000002
107,1742207613.9383695,0.0315999985
108,1742207614.5276067,0.0347999968
109,1742207615.074992,0.0303999986
110,1742207615.642308,0.0195999984
111,1742207616.2058392,0.0303999986
112,1742207616.8245893,0.027999999
113,1742207617.3770208,0.030799998
114,1742207617.978261,0.0291999988
115,1742207618.522767,0.0407999977
116,1742207619.141642,0.0315999985
117,1742207619.7086134,0.0343999974
118,1742207620.2763658,0.0183999985
119,1742207620.822902,0.0291999988
120,1742207621.3866081,0.0203999989
121,1742207621.9442012,0.0303999986
122,1742207622.4997509,0.0239999983
123,1742207623.051845,0.0247999988
124,1742207623.6225836,0.0211999994
125,1742207624.1674001,0.0252
126,1742207624.7983186,0.0183999985
127,1742207625.355514,0.0299999993
128,1742207625.9261308,0.0303999986
129,1742207626.4720562,0.0319999978
130,1742207627.0346053,0.0155999996
131,1742207627.5935836,0.0187999997
132,1742207628.156863,0.0195999984
133,1742207628.7083914,0.0307999998
134,1742207629.3329227,0.058799997
135,1742207629.8729322,0.0208000001
136,1742207630.463826,0.0199999996
137,1742207631.0222144,0.0243999995
138,1742207631.6140096,0.0351999998
139,1742207632.1590476,0.021999998
140,1742207632.740305,0.0171999987
141,1742207633.2928,0.0203999989
142,1742207633.8954113,0.0196000002
143,1742207634.4413764,0.0199999996
144,1742207635.0519457,0.019199999
145,1742207635.6117768,0.0339999981
146,1742207636.209105,0.0328000002
147,1742207636.777389,0.0284000002
148,1742207637.3688269,0.017599998
149,1742207637.9067626,0.0351999998
150,1742207638.495995,0.0375999995
151,1742207639.0610054,0.0216000006
152,1742207639.652991,0.0247999988
153,1742207640.1947372,0.0275999997
154,1742207640.7835984,0.0311999992
155,1742207641.3377604,0.0196000002
156,1742207641.93519,0.0243999995
157,1742207642.4735427,0.0215999987
158,1742207643.0694213,0.0299999993
159,1742207643.6451945,0.0243999995
160,1742207644.2176054,0.0379999988
161,1742207644.775468,0.0623999983
162,1742207645.398771,0.0363999978
163,1742207645.9420795,0.0311999992
164,1742207646.5506263,0.0335999988
165,1742207647.0950134,0.0187999997
166,1742207647.6660144,0.0207999982
167,1742207648.2283082,0.0363999978
168,1742207648.8523104,0.0187999997
169,1742207649.3943563,0.0315999985
170,1742207649.9857514,0.0475999974
171,1742207650.5415905,0.0315999985
172,1742207651.1321685,0.0331999995
173,1742207651.6956296,0.0328000002
174,1742207652.2674813,0.0292000007
175,1742207652.827176,0.0167999994
176,1742207653.4662592,0.0287999995
177,1742207654.616669,0.023599999
178,1742207655.1605713,0.0331999995
179,1742207655.754721,0.0231999997
180,1742207656.311511,0.017599998
181,1742207656.8951962,0.0284000002
182,1742207657.455765,0.0184000004
183,1742207658.066591,0.0395999998
184,1742207658.6539884,0.0323999971
185,1742207659.2479017,0.0171999987
186,1742207659.7907865,0.0175999999
187,1742207660.3692071,0.0171999987
188,1742207660.909156,0.0315999985
189,1742207661.5168974,0.0231999997
190,1742207662.078111,0.0391999967
191,1742207662.664386,0.0159999989
192,1742207663.2289486,0.0331999995
193,1742207663.8102205,0.0296
194,1742207664.3773308,0.0227999985
195,1742207664.9697099,0.0255999994
196,1742207665.5224786,0.0231999978
197,1742207666.1433866,0.0196000002
198,1742207666.695125,0.0339999981
199,1742207667.2860694,0.0348000005
200,1742207667.8273315,0.0208000001
201,1742207668.4634776,0.0303999986
202,1742207669.0146577,0.0331999995
203,1742207669.6024349,0.0291999988
204,1742207670.1643655,0.0179999992
205,1742207670.7339923,0.0228000004
206,1742207671.2779596,0.0167999994
207,1742207671.8413327,0.0375999995
208,1742207672.3932416,0.0208000001
209,1742207672.956049,0.0327999964
210,1742207673.5115714,0.0275999978
211,1742207674.1533134,0.0343999974
212,1742207674.688769,0.0252
213,1742207675.2824676,0.0355999991
214,1742207675.8313313,0.0339999981
215,1742207676.404066,0.0359999985
216,1742207676.9647732,0.0379999988
217,1742207677.5256379,0.0339999981
218,1742207678.0757313,0.0259999987
219,1742207678.6963067,0.0243999995
220,1742207679.2392325,0.027999999
221,1742207679.8319736,0.0315999985
222,1742207680.3978405,0.0339999981
223,1742207680.9902966,0.0231999978
224,1742207681.526057,0.0175999999
225,1742207682.118705,0.0163999982
226,1742207682.6641564,0.0307999998
227,1742207683.2328517,0.0267999992
228,1742207683.781514,0.0328000002
229,1742207684.3956585,0.0240000002
230,1742207684.9413128,0.0307999998
231,1742207685.5179942,0.0339999981
232,1742207686.0630476,0.0347999968
233,1742207686.688625,0.0323999971
234,1742207687.2484043,0.0263999999
235,1742207687.8113976,0.030799998
236,1742207688.415082,0.0299999993
