,t,V
0,1742207441.9531367,0.0371999964
1,1742207442.5161538,0.0343999974
2,1742207443.1310706,0.0347999968
3,1742207443.6814368,0.0240000002
4,1742207444.2533765,0.0296
5,1742207444.7952,0.0155999986
6,1742207445.3521585,0.0311999992
7,1742207445.9160573,0.0187999997
8,1742207446.4751382,0.0275999997
9,1742207447.0327778,0.0239999983
10,1742207447.649284,0.0359999985
11,1742207448.191169,0.0419999994
12,1742207448.8027837,0.0223999992
13,1742207449.345549,0.0152000003
14,1742207449.9256105,0.0315999985
15,1742207450.4750354,0.0284000002
16,1742207451.0380895,0.0363999978
17,1742207451.5809214,0.0316000022
18,1742207452.1431663,0.0172000006
19,1742207452.6999893,0.0311999973
20,1742207453.2552772,0.0295999981
21,1742207453.8135028,0.026800001
22,1742207454.3734272,0.0267999992
23,1742207454.911075,0.0359999985
24,1742207455.4718988,0.0228000004
25,1742207456.0326247,0.0324000008
26,1742207456.6098568,0.0240000002
27,1742207457.1488237,0.0355999991
28,1742207457.7061424,0.0343999974
29,1742207458.2652974,0.0315999985
30,1742207458.824156,0.0263999999
31,1742207459.3798306,0.0196000002
32,1742207460.0017016,0.0219999999
33,1742207460.5614984,0.0160000008
34,1742207461.1378229,0.0187999997
35,1742207461.6803164,0.021999998
36,1742207462.3003123,0.0184000004
37,1742207462.8491228,0.0183999985
38,1742207463.4204574,0.0211999994
39,1742207463.9662647,0.0299999993
40,1742207464.5891511,0.0255999994
41,1742207465.1434424,0.0196000002
42,1742207465.7381713,0.0223999992
43,1742207466.2829783,0.0343999974
44,1742207466.8699257,0.0224000011
45,1742207467.4306898,0.0175999999
46,1742207468.021127,0.0303999986
47,1742207468.5641823,0.0287999995
48,1742207469.1863914,0.0231999997
49,1742207469.7325234,0.0211999994
50,1742207470.3315732,0.0835999995
51,1742207470.8782625,0.0303999986
52,1742207471.4763644,0.0179999992
53,1742207472.0270355,0.0295999981
54,1742207472.6256123,0.0187999997
55,1742207473.178087,0.0331999995
56,1742207473.7710063,0.0395999961
57,1742207474.364261,0.0172000006
58,1742207474.9351172,0.0267999992
59,1742207475.500563,0.0236000009
60,1742207476.1230998,0.0331999958
61,1742207476.6842349,0.0296
62,1742207477.2711174,0.0187999997
63,1742207477.8171291,0.0355999991
64,1742207478.3888583,0.0359999985
65,1742207478.9477136,0.0328000002
66,1742207479.573354,0.0296
67,1742207480.112572,0.0367999971
68,1742207480.7052119,0.0287999995
69,1742207481.2676105,0.0323999971
70,1742207481.8605063,0.0259999987
71,1742207482.3931463,0.0296
72,1742207482.9684823,0.0215999987
73,1742207483.5184755,0.0339999981
74,1742207484.1340783,0.0359999985
75,1742207484.6789582,0.0351999998
76,1742207485.2519035,0.0272000004
77,1742207485.8120363,0.0184000004
78,1742207486.3768313,0.0215999987
79,1742207487.565965,0.0243999995
80,1742207488.118182,0.0367999971
81,1742207488.7041185,0.0388000011
82,1742207489.2437937,0.0152000003
83,1742207489.8339927,0.0172000006
84,1742207490.3828619,0.0371999964
85,1742207490.986662,0.0299999993
86,1742207491.5478497,0.0327999964
87,1742207492.1406634,0.0303999986
88,1742207492.684989,0.0196000002
89,1742207493.2746115,0.0323999971
90,1742207493.8175411,0.0319999978
91,1742207494.4069178,0.0343999974
92,1742207494.969619,0.0335999988
93,1742207495.5414705,0.023599999
94,1742207496.1001894,0.0171999987
95,1742207496.6809006,0.0187999997
96,1742207497.232015,0.0372000001
97,1742207497.794314,0.0343999974
98,1742207498.3482208,0.0211999994
99,1742207498.916755,0.0240000002
100,1742207499.4682517,0.0351999961
101,1742207500.0257187,0.0280000009
102,1742207500.5688155,0.0355999991
103,1742207501.1906102,0.0160000008
104,1742207501.7343454,0.021999998
105,1742207502.3067794,0.026800001
106,1742207502.8539739,0.0247999988
107,1742207503.9509008,0.0351999998
108,1742207504.5723774,0.0319999978
109,1742207505.1291113,0.0228000004
110,1742207505.7255678,0.0331999958
111,1742207506.2639856,0.0159999989
112,1742207506.8470285,0.0323999971
113,1742207507.3812747,0.0339999981
114,1742207507.9460213,0.0199999996
115,1742207508.5008738,0.0255999994
116,1742207509.0612733,0.0275999997
117,1742207509.6137931,0.0167999994
118,1742207510.2582655,0.0252
119,1742207510.8151147,0.0199999996
120,1742207511.3875997,0.0319999978
121,1742207511.9503388,0.0192000009
122,1742207512.575213,0.0199999996
123,1742207513.1189172,0.0183999985
124,1742207513.691864,0.0231999997
125,1742207514.249946,0.0179999992
126,1742207514.8068805,0.0339999981
127,1742207515.3715756,0.0335999988
128,1742207515.9909241,0.0159999989
129,1742207516.5339723,0.0299999993
130,1742207517.1436644,0.0331999995
131,1742207517.6858268,0.0367999971
132,1742207518.2586224,0.0215999987
133,1742207518.8009892,0.0348000005
134,1742207519.425951,0.0299999993
135,1742207519.9810717,0.0187999997
136,1742207520.5605755,0.0327999964
137,1742207521.1180184,0.0196000002
138,1742207521.6798105,0.0175999999
139,1742207522.2371266,0.0416000001
140,1742207522.852738,0.0379999988
141,1742207523.3979266,0.0203999989
142,1742207523.967766,0.0236000009
143,1742207524.5120752,0.0408000015
144,1742207525.0803638,0.0243999995
145,1742207525.633705,0.0172000006
146,1742207526.2019386,0.0368000008
147,1742207526.747389,0.0299999993
148,1742207527.3722732,0.0372000001
149,1742207527.928295,0.0392000005
150,1742207528.5087116,0.0335999988
151,1742207529.0543394,0.0344000012
152,1742207529.607112,0.0319999978
153,1742207530.149598,0.0311999992
154,1742207530.772249,0.0328000002
155,1742207531.335326,0.0327999964
156,1742207531.9036782,0.019199999
157,1742207532.4669297,0.0311999992
158,1742207534.1240292,0.0216000006
159,1742207536.90156,0.0375999995
160,1742207537.456718,0.0239999983
161,1742207538.016015,0.0292000007
162,1742207538.5907915,0.0843999982
163,1742207539.1380742,0.0223999992
164,1742207539.689469,0.0159999989
165,1742207540.2384114,0.027999999
166,1742207540.7977524,0.0287999995
167,1742207541.3315594,0.0215999987
168,1742207541.9112446,0.0351999998
169,1742207543.0270743,0.0167999994
170,1742207543.5884566,0.0252
171,1742207544.1438727,0.031200001
172,1742207544.7052286,0.0224000011
173,1742207545.2656143,0.0379999988
174,1742207545.8160465,0.0275999997
175,1742207546.3971827,0.0364000015
176,1742207546.953834,0.0263999999
177,1742207547.5126872,0.0196000002
178,1742207548.6346753,0.0331999995
