,t,V
0,1742208730.894458,0.0275999978
1,1742208731.4661362,0.0229999982
2,1742208732.079493,0.0227999985
3,1742208732.6364133,0.0285999998
4,1742208733.2237406,0.0241999999
5,1742208733.781006,0.0208000001
6,1742208734.3631957,0.0146000003
7,1742208734.8984153,0.0313999988
8,1742208735.4750357,0.0148
9,1742208736.0362291,0.0187999997
10,1742208736.6558414,0.0305999983
11,1742208737.2180283,0.0231999997
12,1742208737.8148208,0.0255999994
13,1742208738.3673775,0.0285999998
14,1742208738.9599416,0.0273999982
15,1742208739.5227015,0.0223999992
16,1742208740.1553855,0.0135999992
17,1742208740.7041807,0.023
18,1742208741.2976077,0.025799999
19,1742208741.8555787,0.0263999999
20,1742208742.4617326,0.0305999983
21,1742208743.019202,0.0451999977
22,1742208743.6247594,0.0253999978
23,1742208744.1845284,0.023
24,1742208744.7780814,0.0208000001
25,1742208745.3249621,0.0137999989
26,1742208745.9064925,0.0179999992
27,1742208746.4664059,0.0170000009
28,1742208747.0461714,0.0171999987
29,1742208747.619694,0.0273999982
30,1742208748.201147,0.0319999978
31,1742208748.7533514,0.030199999
32,1742208749.3954082,0.0206000004
33,1742208749.935575,0.0305999983
34,1742208750.5503948,0.0183999985
35,1742208751.1071358,0.0162000004
36,1742208751.6733708,0.0292000007
37,1742208752.2214513,0.0289999992
38,1742208752.844893,0.0148
39,1742208753.3910015,0.0149999997
40,1742208753.9806762,0.0317999981
41,1742208754.53893,0.0253999997
42,1742208755.1462314,0.0141999992
43,1742208755.7052743,0.0294000003
44,1742208756.3156486,0.0293999985
45,1742208756.8660486,0.0265999995
46,1742208757.4645991,0.0149999997
47,1742208758.0251043,0.0209999997
48,1742208758.6315215,0.0177999996
49,1742208759.1866317,0.0157999992
50,1742208759.795489,0.0141999992
51,1742208760.3534582,0.0165999997
52,1742208760.9454818,0.0243999995
53,1742208761.5256436,0.0179999992
54,1742208762.160356,0.0194000006
55,1742208762.724829,0.0245999992
56,1742208763.3096197,0.0263999999
57,1742208763.870628,0.0146000003
58,1742208764.4662132,0.0321999975
59,1742208765.0248954,0.0275999978
60,1742208765.5937805,0.030199999
61,1742208766.1511312,0.0135999992
62,1742208766.7981627,0.0315999985
63,1742208767.9469557,0.0186000001
64,1742208768.5094624,0.0211999994
65,1742208769.099881,0.0157999992
66,1742208769.6515338,0.025799999
67,1742208770.2749956,0.0170000009
68,1742208770.838073,0.0291999988
69,1742208771.422559,0.0284000002
70,1742208771.987521,0.0225999989
71,1742208772.6318715,0.0189999994
72,1742208773.1849031,0.0394000001
73,1742208773.7803698,0.0433999971
74,1742208774.3368156,0.0267999992
75,1742208774.9351912,0.0180000011
76,1742208775.4905684,0.0167999994
77,1742208776.12406,0.0436000004
78,1742208776.667495,0.0221999995
79,1742208777.2474353,0.0329999998
