,t,V
0,1742219788.230781,0.0405999981
1,1742219788.8248215,0.0409999974
2,1742219789.428385,0.0219999999
3,1742219789.9881968,0.0182000007
4,1742219790.597997,0.0323999971
5,1742219791.15642,0.0151999993
6,1742219791.7597616,0.0417999998
7,1742219792.322249,0.0363999978
8,1742219792.919039,0.0275999978
9,1742219793.4865255,0.0181999989
10,1742219794.0928397,0.0209999997
11,1742219794.6715114,0.0348000005
12,1742219795.2655444,0.0260000005
13,1742219795.8163135,0.0280000009
14,1742219796.4328344,0.0240000002
15,1742219796.992849,0.0181999989
16,1742219797.5908322,0.0395999998
17,1742219798.1878128,0.021399999
18,1742219798.7757988,0.0315999985
19,1742219799.341613,0.0174000002
20,1742219799.9344776,0.027999999
21,1742219800.4830267,0.0377999991
22,1742219801.0829725,0.0355999991
23,1742219801.6421657,0.0397999957
24,1742219802.2470088,0.0169999991
25,1742219802.8005457,0.0309999995
26,1742219803.414062,0.0392000005
27,1742219803.975056,0.0381999984
28,1742219804.58415,0.0337999985
29,1742219805.1377172,0.0272000004
30,1742219805.7493644,0.0348000005
31,1742219806.304051,0.0346000008
32,1742219806.9025748,0.0185999982
33,1742219807.456686,0.0149999997
34,1742219808.0613978,0.0162000004
35,1742219808.6198776,0.0250000004
36,1742219809.2331126,0.0351999961
37,1742219809.7863662,0.0145999994
38,1742219810.4188266,0.0221999995
39,1742219810.9759192,0.0281999987
40,1742219811.5640264,0.0361999981
41,1742219812.1266966,0.0139999995
42,1742219812.735728,0.0182000007
43,1742219813.304547,0.0381999984
44,1742219813.9197047,0.0313999988
45,1742219814.4921165,0.0247999988
46,1742219815.1005342,0.0159999989
47,1742219815.6603613,0.0323999971
48,1742219816.2684598,0.0313999988
49,1742219816.8420374,0.0383999981
50,1742219817.4479384,0.0379999988
51,1742219818.006765,0.0335999988
52,1742219818.6191993,0.0241999999
53,1742219819.1933556,0.0239999983
54,1742219819.7960804,0.0201999992
55,1742219820.3608582,0.0189999994
56,1742219820.9709103,0.0127999997
57,1742219821.543053,0.0263999999
58,1742219822.1369045,0.0157999992
59,1742219822.694266,0.0361999981
60,1742219823.3178968,0.0359999985
61,1742219823.8679113,0.0367999971
62,1742219824.466593,0.0181999989
63,1742219825.0175395,0.0363999978
64,1742219825.6359937,0.0152000003
65,1742219826.1937325,0.0153999999
66,1742219826.8207862,0.0167999994
67,1742219827.393936,0.0184000004
68,1742219827.983199,0.0149999997
69,1742219828.5442228,0.0311999992
70,1742219829.136371,0.0333999991
71,1742219829.687895,0.029000001
72,1742219830.2933557,0.0365999974
73,1742219830.861209,0.0335999988
74,1742219831.4668171,0.0350000001
75,1742219832.0278852,0.0323999971
76,1742219832.6186953,0.0313999988
77,1742219833.1757112,0.029000001
78,1742219833.7708,0.0177999996
79,1742219834.3272073,0.0367999971
80,1742219834.9396112,0.0137999998
81,1742219835.4876554,0.0335999988
82,1742219836.0768678,0.0142000001
83,1742219836.6441462,0.0218000002
84,1742219837.2491379,0.0359999985
85,1742219837.8104882,0.0304000005
86,1742219838.4007406,0.0216000006
87,1742219838.9531028,0.0339999981
88,1742219839.5616896,0.0327999964
89,1742219840.1270733,0.0252
90,1742219840.7367136,0.0363999978
91,1742219841.2944005,0.023
92,1742219841.8870814,0.0373999961
93,1742219842.4445813,0.0371999964
94,1742219843.0484738,0.0233999994
95,1742219843.611312,0.0343999974
96,1742219844.212306,0.0187999997
97,1742219844.770977,0.0263999999
98,1742219845.369044,0.0373999961
99,1742219845.9456928,0.0168000013
100,1742219846.535782,0.0335999988
101,1742219847.0953696,0.0259999987
102,1742219847.700497,0.0341999978
103,1742219848.2550035,0.0186000001
104,1742219848.8707252,0.0167999994
105,1742219849.4230416,0.023
106,1742219850.035293,0.021399999
107,1742219850.5956569,0.0177999996
108,1742219851.203098,0.0194000006
109,1742219851.7485409,0.0137999989
110,1742219852.353636,0.0282000005
111,1742219852.9106677,0.0329999998
112,1742219853.4975913,0.0167999994
113,1742219854.0756547,0.0329999998
114,1742219854.6872034,0.0361999981
115,1742219855.2622027,0.0285999998
116,1742219855.860245,0.0229999982
117,1742219856.4305992,0.0247999988
118,1742219857.0399199,0.0239999983
119,1742219857.6118498,0.0283999983
