,t,V
0,1742391474.6373851,0.6000000238
1,1742391475.2272866,0.3760000467
2,1742391475.7679482,0.2960000336
3,1742391476.3327825,0.6240000129
4,1742391476.9029868,0.6680000424
5,1742391477.4639282,0.3280000389
6,1742391478.0007527,0.5760000348
7,1742391478.6223133,0.4080000222
8,1742391479.1887412,0.3400000334
9,1742391479.7736013,0.5559999943
10,1742391480.3227718,0.6159999967
11,1742391480.9100943,0.5720000267
12,1742391481.4508078,0.5160000324
13,1742391482.0437396,0.476000011
14,1742391482.6037157,0.3799999952
15,1742391483.194335,0.3120000362
16,1742391483.733279,0.3280000091
17,1742391484.326515,0.6840000749
18,1742391484.8875978,0.3440000117
19,1742391485.4528701,0.5640000105
20,1742391486.0194733,0.3599999845
21,1742391486.5742285,0.5200000405
22,1742391487.1168547,0.408000052
23,1742391487.741588,0.3680000305
24,1742391488.2824364,0.3400000036
25,1742391488.8721764,0.3400000334
26,1742391489.412976,0.5120000243
27,1742391490.043486,0.6480000615
28,1742391490.5862856,0.484000057
29,1742391491.1784449,0.5440000296
30,1742391491.7150218,0.6040000319
31,1742391492.3085024,0.6360000372
32,1742391492.8718033,0.4960000217
33,1742391493.4585044,0.6280000806
34,1742391494.0186386,0.3960000277
35,1742391494.5971627,0.5320000648
36,1742391495.1471395,0.5120000243
37,1742391495.7141528,0.4120000601
38,1742391496.2705774,0.3280000091
39,1742391496.8941529,0.5200000405
40,1742391497.4560833,0.6080000401
41,1742391498.0437093,0.3720000088
42,1742391498.5990481,0.584000051
43,1742391499.1963654,0.5360000134
44,1742391499.7556894,0.4800000489
45,1742391500.3286927,0.6240000129
46,1742391500.8652897,0.6600000262
47,1742391501.4370718,0.6640000343
48,1742391501.9873633,0.3079999983
49,1742391502.550017,0.4160000384
50,1742391503.0824885,0.4080000222
51,1742391503.645442,0.4640000165
52,1742391504.1979141,0.4520000219
53,1742391504.8438756,0.5960000157
54,1742391505.384029,0.3680000007
55,1742391505.9747853,0.6800000668
56,1742391506.5316646,0.5520000458
57,1742391507.1244009,0.2840000391
58,1742391507.687674,0.6240000725
59,1742391508.260774,0.5800000429
60,1742391508.803298,0.2840000093
61,1742391509.4211085,0.5360000134
62,1742391509.9872363,0.5480000377
63,1742391510.5573719,0.3600000441
64,1742391511.1186264,0.5879999995
65,1742391511.7246258,0.6640000343
66,1742391512.297365,0.8920000196
67,1742391512.8738751,0.4600000381
68,1742391513.4225297,0.5120000839
69,1742391513.9752421,0.4720000029
70,1742391514.534979,0.3959999979
71,1742391515.1575828,0.3639999926
72,1742391515.7164967,0.3400000334
73,1742391516.3117416,0.5720000267
74,1742391516.8743746,0.3959999979
75,1742391517.4436336,0.2840000391
76,1742391517.9895804,0.5440000296
77,1742391518.6058261,0.6280000806
78,1742391519.1730163,0.5480000377
79,1742391519.7631009,0.4359999895
80,1742391520.3233397,0.4600000381
81,1742391520.9148002,0.2800000012
82,1742391521.4737458,0.3680000007
83,1742391522.038088,0.4160000086
84,1742391522.590322,0.4640000463
85,1742391523.212308,0.6080000401
86,1742391523.7639802,0.5600000024
87,1742391524.346015,0.5680000186
88,1742391524.9397416,0.6680000424
89,1742391525.5571346,0.3519999981
90,1742391526.1246529,0.2960000336
91,1742391526.7472131,0.5320000648
92,1742391527.2981138,0.8640000224
93,1742391527.8957183,0.432000041
94,1742391528.457124,0.3720000088
95,1742391529.0484147,0.3080000281
96,1742391529.5856097,0.6480000615
97,1742391530.1661518,0.5760000348
98,1742391530.7161582,0.4440000355
99,1742391531.3389697,0.4640000463
100,1742391531.8852298,0.3080000281
101,1742391532.4905007,0.3400000334
102,1742391533.039523,0.4600000083
103,1742391533.612819,0.5440000296
104,1742391534.1555047,0.5519999862
105,1742391534.7743826,0.3680000007
106,1742391535.320559,0.4400000274
107,1742391535.9142077,0.6040000319
108,1742391536.4518847,0.5400000811
109,1742391537.024106,0.5680000186
110,1742391537.5769851,0.4799999893
111,1742391538.1940649,0.6360000372
112,1742391538.741471,0.5800000429
113,1742391539.3081717,0.6680000424
114,1742391539.8513653,0.5920000076
115,1742391540.4186046,0.6000000238
116,1742391540.9728255,0.6960000396
117,1742391541.5890455,0.4000000358
118,1742391542.1414177,0.6160000563
119,1742391542.7150807,0.5440000296
120,1742391543.2567077,0.5240000486
121,1742391543.8755085,0.2880000174
122,1742391544.424638,0.5960000157
123,1742391544.994094,0.5800000429
124,1742391545.5570831,0.7000000477
125,1742391546.119244,0.4120000303
126,1742391546.6918657,0.7120000124
127,1742391547.2546523,0.7160000205
128,1742391547.8068023,0.628000021
129,1742391548.429287,0.3000000119
130,1742391548.97122,0.7120000124
131,1742391549.5486388,0.8399999738
132,1742391550.101917,0.3440000117
133,1742391550.6532683,0.4800000191
134,1742391551.2065804,0.4040000141
135,1742391551.765537,0.6000000238
136,1742391552.3268476,0.423999995
137,1742391552.9403334,0.356000036
138,1742391553.4929883,0.3080000281
139,1742391554.074943,0.432000041
140,1742391554.6176553,0.4120000005
141,1742391555.194193,0.6400000453
142,1742391555.7384865,0.3440000117
143,1742391556.363643,0.6640000343
144,1742391556.9017026,0.2840000093
145,1742391557.4944813,0.4280000031
146,1742391558.0512996,0.3960000277
147,1742391558.645259,0.4040000439
148,1742391559.1921077,0.4720000327
149,1742391559.7606695,0.6840000153
150,1742391560.3228095,0.5479999781
151,1742391560.8866124,0.3240000308
152,1742391561.4204237,0.5279999971
153,1742391561.9877648,0.6439999938
154,1742391562.5386944,0.3640000522
155,1742391563.0999687,0.6240000129
156,1742391563.6534982,0.3880000114
157,1742391564.285206,0.84799999
158,1742391564.837842,0.6640000343
159,1742391565.433711,0.3280000091
160,1742391565.9881124,0.4480000138
161,1742391566.5678332,0.4519999921
162,1742391567.1183505,0.280000031
163,1742391567.6871157,0.5800000429
164,1742391568.2272122,0.4520000219
165,1742391568.8479307,0.4080000222
166,1742391569.4050498,0.3240000308
167,1742391569.9825346,0.30400002
168,1742391570.5361245,0.4600000381
169,1742391571.164349,0.7040000558
170,1742391571.7103117,0.5600000024
171,1742391572.2916286,0.6800000072
172,1742391572.8575885,0.5640000105
173,1742391573.463003,0.5200000405
174,1742391574.0100951,0.4040000141
175,1742391574.6008356,0.628000021
176,1742391575.1541452,0.6160000563
177,1742391575.7464192,0.5720000267
178,1742391576.3024423,0.6080000401
179,1742391576.8917992,0.6640000343
180,1742391577.4347482,0.5920000076
181,1742391578.013568,0.2760000229
182,1742391578.5534773,0.476000011
183,1742391579.1787822,0.6800000668
184,1742391579.7278674,0.5560000539
185,1742391580.3107257,0.4920000136
186,1742391580.8774269,0.6480000019
187,1742391581.485153,0.4720000625
188,1742391582.027722,0.584000051
189,1742391582.6112351,0.5760000348
190,1742391583.1603103,0.6040000319
191,1742391583.737841,0.4640000165
192,1742391584.292459,0.7760000229
193,1742391584.9037669,0.6920000315
194,1742391585.4408474,0.5320000052
195,1742391586.0782459,0.6280000806
196,1742391586.6268194,0.356000036
197,1742391587.2152011,0.6000000238
198,1742391587.754464,0.6120000482
199,1742391588.3456213,0.5080000162
200,1742391588.895527,0.6800000668
201,1742391589.4782214,0.5120000243
202,1742391590.0208457,0.5600000024
203,1742391590.603126,0.6040000319
204,1742391591.1532767,0.7000000477
205,1742391591.7191858,0.4840000272
206,1742391592.2746255,0.560000062
207,1742391592.8172987,0.5640000105
208,1742391593.3697371,0.6200000048
209,1742391593.9923863,0.6480000019
210,1742391594.5556836,0.3959999979
211,1742391595.1416194,0.6080000401
212,1742391595.6941204,0.3560000062
213,1742391596.282702,0.2919999957
214,1742391596.8427367,0.6000000238
215,1742391597.431545,0.356000036
216,1742391597.970637,0.6200000644
217,1742391598.5467613,0.5800000429
218,1742391599.089328,0.6400000453
219,1742391599.7180507,0.4920000434
220,1742391600.2772486,0.4200000167
221,1742391600.8699365,0.4400000572
222,1742391601.4278073,0.628000021
223,1742391602.0031524,0.3360000253
224,1742391602.5453367,0.6360000372
225,1742391603.1119423,0.4679999948
226,1742391603.6577513,0.628000021
227,1742391604.2852175,0.6480000615
228,1742391604.824317,0.4280000627
229,1742391605.4057531,0.3320000172
230,1742391605.9453309,0.5960000157
231,1742391606.50667,0.3720000386
232,1742391607.0418332,0.5160000324
233,1742391607.67093,0.5920000672
234,1742391608.2297273,0.6400000453
235,1742391608.8028035,0.5879999995
236,1742391609.3621092,0.6600000262
237,1742391609.9227333,0.4960000217
238,1742391610.4727547,0.3640000224
239,1742391611.0956767,0.4400000572
240,1742391611.6463854,0.5879999995
241,1742391612.2165413,0.5240000486
242,1742391612.7813432,0.3520000279
243,1742391613.3401399,0.3880000412
244,1742391613.8923023,0.3440000117
245,1742391614.437862,0.5960000157
246,1742391614.9980109,0.3759999871
247,1742391615.614736,0.5880000591
248,1742391616.173426,0.4160000384
249,1742391616.7688155,0.4200000465
250,1742391617.3117833,0.3280000389
251,1742391617.8821738,0.5080000162
252,1742391618.444761,0.6320000291
253,1742391619.004643,0.4120000303
254,1742391619.5556097,0.6160000563
255,1742391620.1260078,0.4440000355
256,1742391620.6777766,0.5320000648
257,1742391621.3044987,0.6200000644
258,1742391621.8421104,0.6600000858
259,1742391622.4120526,0.6120000482
260,1742391622.9774494,0.5519999862
261,1742391623.5947838,0.4120000303
262,1742391624.1466815,0.4079999924
263,1742391624.735621,0.5360000134
264,1742391625.2984138,0.4720000029
265,1742391625.8848727,0.5320000052
266,1742391626.4473815,0.3720000088
267,1742391627.0361845,0.2760000229
268,1742391627.5755491,0.3200000226
269,1742391628.153558,0.6560000777
270,1742391628.70931,0.3960000575
271,1742391629.2758696,0.3799999952
272,1742391629.8283305,0.5240000486
273,1742391630.4507396,0.6480000615
274,1742391631.0141103,0.6080000401
275,1742391631.602639,0.6159999967
276,1742391632.1556683,0.628000021
277,1742391632.7359068,0.4200000465
278,1742391633.2904503,0.4640000463
279,1742391633.8760018,0.5480000377
280,1742391634.4302413,0.3280000091
281,1742391635.0510778,0.5479999781
282,1742391635.6108508,0.65200001
283,1742391636.1964357,0.6920000315
284,1742391636.7392519,0.80400002
285,1742391637.3122144,0.6399999857
286,1742391637.8743865,0.4839999974
287,1742391638.4952474,0.4800000489
288,1742391639.062969,0.736000061
289,1742391639.6360679,0.536000073
290,1742391640.1731136,0.5160000324
291,1742391640.741109,0.484000057
