time,pmt_high_voltage,pmt_current,v_p2p_ch1,v_rms_ch1,v_p2p_ch2,v_rms_ch2
1742926122.8178558,1005.1,114.92,0.0074,0.0010509165,0.0066,0.0012616039
1742926126.1529849,1010.1,115.685,0.0066,0.0009677747,0.0093999999,0.0015087526
1742926129.3456094,1015.0,116.445,0.0034,0.0012128672,0.0117999995,0.0010843644
1742926132.6471202,1020.1,117.225,0.0075999997,0.0005535147,0.0093999999,0.0011111858
1742926135.9407833,1025.1,117.995,0.0092000002,0.0011144652,0.0128000006,0.0006181894
1742926139.2503378,1030.1,118.755,0.0092000002,0.0010560293,0.0035999999,0.0010185343
1742926142.5826468,1035.1,119.525,0.0066,0.0011063496,0.0074,0.0006150441
1742926145.868512,1040.1,120.29,0.0066,0.0012384657,0.0044,0.000640153
1742926149.0774724,1045.1,121.06,0.0095999995,0.0011420165,0.0053999997,0.0016348234
1742926152.4138675,1050.3,121.84,0.0092000002,0.0010853136,0.0066,0.0014397489
1742926155.6903915,1055.2,122.6,0.0092000002,0.0005577494,0.0105999997,0.0014897488
1742926159.0417392,1060.2,123.37,0.0066,0.0009979062,0.0053999997,0.0011121768
1742926162.3960464,1065.2,124.13,0.0061999997,0.0010195762,0.0108000003,0.0013707806
1742926165.726183,1070.2,124.9,0.0093999999,0.0005801298,0.0102000004,0.0013646991
1742926169.0102615,1075.2,125.67,0.0080000004,0.0010903801,0.0101999994,0.0013961187
1742926172.3060265,1080.2,126.44,0.0082,0.0011126612,0.0093999999,0.0014409916
1742926175.815255,1085.2,127.2,0.0070000002,0.0005947258,0.0108000003,0.001147537
1742926179.1330621,1090.1,127.965,0.0105999997,0.0007505206,0.0120000001,0.001252834
1742926182.323234,1095.1,128.725,0.0111999996,0.0005853304,0.0105999997,0.0006070546
1742926185.7708662,1100.2,129.5,0.0085999994,0.000969551,0.0057999999,0.0011654672
1742926189.0760503,1105.2,130.27,0.0099999998,0.0010607302,0.0033999998,0.0012860108
1742926192.3689017,1110.1,131.03,0.0077999998,0.0010585374,0.0057999999,0.0016247533
1742926195.5055625,1115.1,131.795,0.0057999999,0.0005561256,0.0105999997,0.0011303305
1742926198.8617077,1120.1,132.555,0.0083999997,0.0010826286,0.0063999998,0.0006641569
1742926202.301342,1125.2,133.345,0.0063999998,0.0006713838,0.0104,0.0013194211
1742926205.802497,1130.1,134.1,0.0066,0.0005733022,0.0101999994,0.0014005143
1742926209.3788018,1135.1,134.87,0.0095999995,0.0005417847,0.0089999996,0.0013686479
1742926212.8322802,1140.1,135.63,0.0066,0.00108353,0.0062000002,0.0014539281
1742926216.3303638,1145.2,136.4,0.0037999998,0.0012053634,0.0089999996,0.0014059724
1742926219.6753247,1150.1,137.165,0.0067999996,0.001074131,0.0086000003,0.001345459
1742926223.0504985,1155.2,137.945,0.0068000001,0.0010649571,0.0060000001,0.0015087118
1742926226.545275,1160.2,138.715,0.0062000002,0.0005540205,0.0115999999,0.0006715864
1742926229.837997,1165.2,139.475,0.0063999998,0.0010097615,0.0074,0.0012913373
1742926233.0556712,1170.2,140.245,0.0066,0.0006286902,0.0093999999,0.0007313042
1742926236.338397,1175.2,141.005,0.0092000002,0.0011166031,0.0068000001,0.0011193282
1742926239.7162132,1180.2,141.795,0.0075999997,0.0011912849,0.0088,0.0011487383
1742926243.201514,1185.2,142.55,0.0082,0.0010935585,0.0098000001,0.0007326455
1742926246.3995721,1190.2,143.315,0.0104,0.0005792968,0.0046000001,0.0015174798
1742926249.5455496,1195.1,144.08,0.0082,0.0005649917,0.0062000002,0.0014324205
1742926252.88298,1200.1,144.84,0.0075999997,0.0011104797,0.0046000001,0.0012945746
1742926256.280274,1205.2,145.625,0.0060000001,0.0007385134,0.0099999998,0.0013262717
1742926259.7339368,1210.1,146.385,0.0068000001,0.001021662,0.0089999996,0.0013811802
1742926263.0578983,1215.1,147.155,0.0088,0.0009219739,0.0057999999,0.0014270094
1742926266.504747,1220.1,147.915,0.0060000001,0.000570335,0.0055999998,0.0010436492
1742926269.7438028,1225.1,148.685,0.0068000001,0.0010866893,0.0108000003,0.0014544874
1742926273.028945,1230.2,149.46,0.0114000002,0.0011082288,0.0099999998,0.0014657659
1742926276.3035543,1235.1,150.23,0.0093999999,0.0011511,0.0098000001,0.0015029116
1742926279.5462177,1240.1,150.99,0.0088,0.0006269012,0.0102000004,0.0013696864
1742926282.7852397,1245.2,151.75,0.0102000004,0.0010064325,0.0109999999,0.0013874318
1742926286.0089457,1250.2,152.515,0.0075999997,0.001117205,0.0086000003,0.001116768
1742926289.4012406,1255.3,153.295,0.0104,0.0010963896,0.0055999998,0.0014119707
1742926292.8056068,1260.2,154.07,0.0086000003,0.0010488812,0.0062000002,0.001438251
1742926296.3349636,1265.2,154.83,0.0088,0.0010423831,0.0070000002,0.0012577347
1742926299.620175,1270.2,155.595,0.0066,0.0011167321,0.0034,0.0013946677
1742926302.9636912,1275.2,156.355,0.0074,0.0010706632,0.0057999999,0.00065618
1742926306.3388941,1280.2,157.145,0.0095999995,0.0010771741,0.0101999994,0.0014982626
1742926309.5992835,1285.2,157.905,0.0093999999,0.0005849383,0.0104,0.0013822016
1742926312.9176788,1290.2,158.67,0.0070000002,0.0010874501,0.0126,0.0014810995
1742926316.5308876,1295.2,159.435,0.0093999999,0.0010744712,0.0100000007,0.0011190565
1742926319.8078866,1300.1,160.195,0.0069999998,0.0010066021,0.0105999997,0.0013371473
1742926323.0643735,1305.2,160.975,0.0066,0.0011560859,0.0091999993,0.0014227499
1742926326.3612041,1310.2,161.74,0.0074,0.0010809862,0.0104,0.0012576138
1742926329.7534359,1315.1,162.505,0.0092000002,0.0009669363,0.0101999994,0.0014447044
1742926333.1046233,1320.1,163.26,0.0066,0.0010630389,0.0120000001,0.0014724955
1742926336.4508283,1325.1,164.025,0.0092000002,0.0006615449,0.0108000003,0.0007497489
1742926339.823546,1330.1,164.805,0.0086000003,0.0011772373,0.0093999999,0.0015175325
1742926343.232735,1335.1,165.575,0.0063999998,0.0009918514,0.0104,0.0012087361
1742926346.6448035,1340.1,166.33,0.0069999998,0.0005598929,0.0031999999,0.0013823271
1742926350.0199091,1345.0,167.095,0.0093999999,0.0005846509,0.0089999996,0.0014445548
1742926353.31276,1350.0,167.86,0.0060000001,0.0010527655,0.0083999997,0.0011881299
1742926356.6832478,1355.1,168.635,0.0063999998,0.0010471274,0.0104,0.0015205601
1742926359.9490294,1360.2,169.4,0.0487999991,0.0006784473,0.0115999999,0.0006591614
1742926363.1484828,1365.0,170.16,0.0078000003,0.001053885,0.0098000001,0.0014113811
1742926366.2806492,1370.1,170.935,0.0082,0.001018461,0.0051999995,0.00158515
1742926369.632604,1375.1,171.695,0.0089999996,0.0011078893,0.0093999999,0.0014832576
1742926372.959564,1380.2,172.48,0.0088,0.0009310524,0.0062000002,0.0013993043
1742926376.270375,1385.2,173.245,0.0089999996,0.0005727715,0.0102000004,0.0014504211
1742926379.7264154,1390.1,174.005,0.0080000004,0.0005652608,0.0099999998,0.0013262758
1742926383.0317469,1395.1,174.775,0.0101999994,0.0012127353,0.0101999994,0.0014638646
1742926386.278928,1400.1,175.535,0.0080000004,0.0011230924,0.0098000001,0.0013310624
1742926389.559144,1405.2,176.325,0.0075999997,0.0011359055,0.0104,0.0014409269
1742926392.8336976,1410.1,177.08,0.0055999998,0.0010417636,0.0055999998,0.0006192156
1742926396.198103,1415.1,177.845,0.0034,0.0011984004,0.0047999998,0.000708842
1742926399.553136,1420.1,178.605,0.0039999997,0.0005665195,0.0040000002,0.0006436441
1742926402.7180555,1425.0,179.375,0.0034,0.0005349465,0.0031999999,0.0007038604
1742926405.8685179,1430.1,180.15,0.0035999999,0.0005806952,0.0039999997,0.0009193022
1742926409.1206005,1435.1,180.915,0.0031999999,0.0134514067,0.0038000001,0.0007319059
1742926412.4109,1440.0,181.68,0.003,0.0005910542,0.0031999999,0.000627182
1742926415.610315,1445.0,182.44,0.0040000002,0.000572846,0.0034,0.0007309758
1742926418.7651067,1450.1,183.225,0.0046000001,0.0005965665,0.0033999998,0.0006509143
1742926421.859264,1455.1,183.99,0.0041999999,0.0006042709,0.0037999998,0.0007074896
1742926425.035847,1460.1,184.755,0.003,0.0006460518,0.0035999999,0.0006647952
1742926428.3068998,1465.0,185.515,0.012000001,0.0005579885,0.0037999998,0.0007046748
1742926431.5324118,1470.0,186.285,0.0035999999,0.0005313337,0.0037999998,0.0007131082
1742926434.9252906,1475.1,187.06,0.0063999998,0.0009442057,0.0035999999,0.000720866
1742926438.1370993,1480.0,187.825,0.0037999998,0.0006354223,0.0033999998,0.0006234577
1742926441.423206,1485.0,188.59,0.0035999999,0.0005615818,0.0037999998,0.0006725629
1742926444.5228221,1490.0,189.355,0.0039999997,0.0005604739,0.0031999999,0.0006224642
1742926447.7054882,1495.0,190.125,0.0033999998,0.000539683,0.0044,0.0007034699
1742926450.80471,1500.2,190.905,0.0035999999,0.0006357413,0.0038000001,0.0006602047
1742926454.311855,1505.2,191.67,0.003,0.0005325123,0.012000001,0.0015441569
1742926457.554388,1510.1,192.43,0.0086000003,0.0009943176,0.0099999998,0.0013588063
1742926460.8827808,1515.1,193.2,0.0082,0.0005996352,0.0071999999,0.0014374494
1742926464.0942047,1520.1,193.965,0.0077999998,0.0010218971,0.0060000001,0.0014548359
1742926467.509993,1525.1,194.74,0.0077999998,0.0005989586,0.0093999999,0.0013948302
1742926470.9738038,1530.1,195.505,0.0092000002,0.0011009375,0.0064000003,0.0006532585
1742926474.4044006,1535.1,196.265,0.0086000003,0.0009990578,0.0089999996,0.001372148
1742926477.6931298,1540.0,197.03,0.0093999999,0.0011632218,0.0041999999,0.0012372136
1742926481.0302973,1545.1,197.81,0.0078000003,0.0010928947,0.0098000001,0.0013736462
1742926484.3710496,1550.1,198.575,0.0093999999,0.0011191828,0.0093999999,0.0014593819
1742926487.7196043,1555.1,199.335,0.0031999999,0.000543093,0.0098000001,0.0014266148
1742926490.9859884,1560.0,200.1,0.0093999999,0.0009851423,0.0051999995,0.0013787502
1742926494.2648127,1565.0,200.865,0.0069999998,0.001071749,0.0104,0.0006765257
1742926497.6960132,1570.1,201.645,0.0079999994,0.0010375476,0.0093999999,0.0013772692
1742926501.0773423,1575.1,202.41,0.0066,0.001028657,0.0117999995,0.0014459447
1742926504.6325765,1580.1,203.17,0.0083999997,0.0041404781,0.0038000001,0.000633606
