,t,V
0,1741806193.9215133,6.4000000954
1,1741806247.1714234,3.4000000954
2,1741806250.5334306,2.7999999523
3,1741806293.209435,4.8000001907
4,1741806308.8519354,4.2000002861
5,1741806449.6561606,10.2000007629
6,1741806744.025706,8.0
7,1741806803.9125729,2.6000001431
8,1741806842.062987,6.8000001907
9,1741806884.7784758,8.0
10,1741806947.1882904,3.4000000954
11,1741806999.5872526,2.2000000477
12,1741807015.2872572,2.0
13,1741807292.9585907,7.5999999046
14,1741807567.1459491,10.0000009537
15,1741807777.4028566,11.3999996185
16,1741808168.1449914,2.2000000477
17,1741808496.1336458,1.6000000238
18,1741808506.847142,2.0
19,1741808613.1283958,7.0
20,1741809370.947616,6.8000001907
21,1741809504.7127967,27.0
22,1741809540.226363,8.0
23,1741809698.4604335,6.0
24,1741809753.3693244,8.3999996185
25,1741809926.5195076,7.6000003815
26,1741810171.332644,9.1999998093
27,1741810184.5233588,5.4000000954
28,1741811956.32829,7.0
29,1741812301.2795835,9.8000001907
30,1741812798.8165727,7.5999999046
31,1741812834.151099,7.6000003815
32,1741812935.9245286,7.4000000954
33,1741815349.5752969,8.3999996185
34,1741815456.250607,17.7999992371
35,1741815592.8107069,7.0
36,1741816104.724319,6.8000001907
37,1741816604.671023,7.6000003815
38,1741817527.859,6.4000000954
39,1741818357.6136475,22.7999992371
40,1741818604.9360466,7.4000000954
41,1741819304.2563238,6.4000000954
42,1741819346.9475439,33.2000007629
43,1741819655.6598518,8.1999998093
44,1741819932.6487722,7.6000003815
45,1741820371.2633467,12.5999994278
46,1741820628.533179,6.0
47,1741821428.3314023,8.1999998093
48,1741821965.7638175,5.2000002861
49,1741822470.9760523,19.2000007629
50,1741822484.182997,8.0
51,1741822576.0279627,17.7999992371
52,1741823441.6590257,6.6000003815
53,1741823649.0826705,6.0
54,1741824652.6507337,7.6000003815
55,1741825280.5787377,18.6000003815
56,1741825446.580495,17.2000007629
57,1741826171.450295,7.4000000954
58,1741827012.9816566,5.4000000954
59,1741827567.1946223,7.8000001907
60,1741827622.1757889,21.0
61,1741827989.5790105,4.8000001907
62,1741828197.4037528,6.6000003815
63,1741828328.6063883,5.4000000954
64,1741829052.467056,11.8000001907
65,1741829247.8572884,6.4000000954
66,1741829484.8259084,10.0
67,1741829677.6134439,7.4000000954
68,1741830413.9250226,6.8000001907
69,1741831909.9703593,6.4000000954
70,1741832053.6655238,16.2000007629
71,1741832709.6057343,5.8000001907
72,1741832818.7081902,9.0
73,1741833259.4430723,6.1999998093
74,1741833432.5048475,6.6000003815
75,1741833625.143847,7.4000000954
76,1741833680.095611,7.0
77,1741833946.364476,7.6000003815
78,1741835071.1999278,7.4000000954
79,1741835379.5779939,9.5999994278
80,1741835890.2120438,1.7999999523
81,1741836477.755404,5.4000000954
82,1741837263.1590667,5.0
83,1741837669.6147478,7.6000003815
84,1741837810.69312,8.5999994278
85,1741838389.9911397,9.3999996185
86,1741838452.6505718,6.0
87,1741838694.4206493,8.5999994278
88,1741838911.9670203,8.3999996185
89,1741839242.666008,13.3999996185
90,1741839512.1312652,7.4000000954
91,1741839567.1821887,8.0
92,1741840189.791032,13.3999996185
93,1741840252.2400854,6.8000001907
94,1741840258.0673838,7.0
95,1741840303.223926,3.4000000954
96,1741840599.2210312,6.6000003815
97,1741840609.9716036,32.8000030518
98,1741840640.8645346,13.1999998093
99,1741840937.4635298,6.4000000954
100,1741841299.891498,6.2000002861
101,1741842981.1293292,9.3999996185
102,1741842989.5711284,6.8000001907
103,1741843770.264405,6.4000000954
104,1741844211.4702258,7.4000000954
105,1741844691.8942094,8.1999998093
106,1741844965.9156096,7.0
107,1741846269.2937138,5.2000002861
108,1741847025.4618332,14.3999996185
109,1741847777.901613,8.1999998093
110,1741847921.5109072,27.7999992371
111,1741847974.1530101,7.6000003815
112,1741848193.833419,5.8000001907
113,1741848310.3449328,6.4000000954
114,1741848874.4790819,7.8000001907
115,1741848976.2265453,8.1999998093
116,1741849806.7504492,8.5999994278
117,1741850280.3329659,7.0
118,1741850541.902977,7.4000000954
119,1741852616.9066565,6.6000003815
120,1741852647.3423395,6.8000001907
121,1741852754.2106366,6.4000000954
122,1741852865.9561534,3.4000000954
